State,CD#,district_full,Party,Dem,Rep,Other,,,,,,
Arizona,2,AZ-02,D,135000,115203,0,,,,,,
Arizona,6,AZ-06,R,108849,136813,0,,,,,,
California,10,CA-10,R,55414,56701,0,,,,,,
California,25,CA-25,D,83662,79545,0,,,,,,
California,39,CA-39,R,74793,78667,0,,,,,,
California,45,CA-45,R,95602,99639,0,,,,,,
California,48,CA-48,D,98259,93503,0,,,,,,
California,49,CA-49,D,94579,82095,0,,,,,,
Colorado,6,CO-06,D,184399,146339,9287,,,,,,
Florida,15,FL-15,R,133686,151064,0,,,,,,
Florida,26,FL-26,D,119723,115644,0,,,,,,
Florida,27,FL-27,D,130636,115546,6253,,,,,,
Georgia,6,GA-06,D,159268,156396,0,,,,,,
Illinois,6,IL-06,D,156346,139667,0,,,,,,
Illinois,12,IL-12,R,116985,134009,7823,,,,,,
Illinois,13,IL-13,R,131958,135680,0,,,,,,
Illinois,14,IL-14,D,142261,131819,0,,,,,,
Iowa,1,IA-01,D,169348,152940,10228,,,,,,
Iowa,3,IA-03,D,169886,164656,11976,,,,,,
Iowa,4,IA-04,R,146698,157221,8251,,,,,,
Kansas,2,KS-02,R,120421,124895,14402,,,,,,
Kansas,3,KS-03,D,164253,136104,7643,,,,,,
Kentucky,6,KY-06,R,144730,154468,3684,,,,,,
Maine,2,ME-02,R,129556,131466,23433,,,,,,
Michigan,8,MI-08,D,172878,159804,8928,,,,,,
Michigan,11,MI-11,D,179976,155331,10450,,,,,,
Minnesota,2,MN-02,D,177971,159373,0,,,,,,
Minnesota,3,MN-03,D,202402,160839,0,,,,,,
Minnesota,8,MN-08,R,141972,159388,12768,,,,,,
Nebraska,2,NE-02,R,114154,121466,0,,,,,,
New Jersey,3,NJ-03,D,148580,145958,3815,,,,,,
New Jersey,7,NJ-07,D,138729,131935,4233,,,,,,
New Jersey,11,NJ-11,D,155916,118547,3097,,,,,,
New Mexico,2,NM-02,D,99440,96712,0,,,,,,
New York,1,NY-01,R,112343,130919,2756,,,,,,
New York,11,NY-11,D,95458,84665,700,,,,,,
New York,19,NY-19,D,122644,117029,6407,,,,,,
New York,22,NY-22,D,117779,116357,0,,,,,,
New York,27,NY-27,R,129594,132402,5700,,,,,,
North Carolina,9,NC-09,R,136478,138338,5042,,,,,,
North Carolina,13,NC-13,R,128764,145962,8231,,,,,,
Ohio,1,OH-01,R,135467,151107,5126,,,,,,
Arizona,senate,AZ-SENATE,D,991189,970986,46796,,,,,,
Florida,governor,FL-GOV,R,4037761,4073763,100443,,,,,,
Florida,senate,FL-SENATE,R,4080923,4095771,0,,,,,,
Nevada,senate,NV-SENATE,D,489817,440868,40813,,,,,,
Pennsylvania,1,PA-01,R,160098,168841,0,,,,,,
Pennsylvania,7,PA-07,D,137122,111862,7899,,,,,,
Pennsylvania,8,PA-08,D,134519,111640,0,,,,,,
Pennsylvania,10,PA-10,R,140956,148790,0,,,,,,
Pennsylvania,16,PA-16,R,119412,130580,2877,,,,,,
Texas,7,TX-07,D,126168,114859,0,,,,,,
Texas,23,TX-23,R,101753,102903,4402,,,,,,
Texas,31,TX-31,R,134675,143330,4936,,,,,,
Texas,32,TX-32,D,142885,125600,5424,,,,,,
Utah,4,UT-04,D,95942,90528,0,,,,,,
Virginia,2,VA-02,D,139328,133319,0,,,,,,
Virginia,5,VA-05,R,144493,165107,0,,,,,,
Virginia,7,VA-07,D,175800,169226,4368,,,,,,
Virginia,10,VA-10,D,206124,160737,598,,,,,,
Washington,3,WA-03,R,130967,146482,0,,,,,,
Washington,8,WA-08,D,129208,114259,0,,,,,,
West Virginia,3,WV-03,R,75776,98048,0,,,,,,
Wisconsin,1,WI-01,R,137507,177490,10006,,,,,,
Tennessee,senate,TN-SENATE,R,982223,1224763,30687,,,,,,
Texas,senate,TX-SENATE,R,4024777,4244204,65240,,,,,,